frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2,3,[749.3907979027183 1378.5483962013925 1432.25607413342 1998.6713827958265],[963.9210205078125 1782.314697265625 1187.0604248046875 1872.4549560546875],0.4821724,NA13NPU,0.196924173
2,5,[2197.5049257779397 1170.6189814481443 2786.410767232229 1748.7753272692094],[2410.0546875 1563.0362548828125 2585.463134765625 1653.6053466796875],0.443757623,NU51VSU,0.396852615
3,3,[743.1137014939083 1385.624664486558 1430.4294441384377 2009.7690358284553],[956.3206787109375 1785.892578125 1184.3294677734375 1879.5938720703125],0.499802619,MA13NRU,0.183500568
4,5,[2191.6926711859255 1175.7222893609214 2790.112212975085 1763.0725429897373],[2416.61083984375 1575.34326171875 2587.661376953125 1654.04638671875],0.571335137,HL51NSU,0.169021518
6,3,[725.7962125403245 1402.6985074295546 1426.972438172399 2040.290864235746],[942.6277465820312 1802.425537109375 1184.5889892578125 1902.52490234375],0.492833644,NA13NRU,0.17303829
8,3,[717.7214398330123 1413.8708183983813 1423.7755339343998 2057.083942688041],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.539464891,NA13NRU,0.429334543
9,5,[2205.00941592742 1195.2995147148356 2818.787338020826 1791.9916908892214],[2420.9755859375 1596.533935546875 2593.8125 1690.518310546875],0.636439383,ML51VSU,0.476142424
9,3,[709.1550158937071 1419.2629166259392 1418.4896859232158 2065.675865559959],[935.376708984375 1832.4049072265625 1177.8861083984375 1928.1412353515625],0.57845819,NA13NRU,0.431340512
10,3,[700.990236666259 1423.9632392526794 1412.0376476347674 2072.118624204767],[923.5907592773438 1831.7886962890625 1181.8697509765625 1942.950927734375],0.564968407,NA13NRU,0.285400259
11,3,[697.3628107938462 1431.4371374208126 1409.533345309852 2080.9364119882393],[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.505068302,NA13NRU,0.243562265
12,3,[694.2981092439152 1441.1546194503155 1406.6010314461219 2090.5296144922218],[925.7424926757812 1853.29833984375 1158.4683837890625 1958.682861328125],0.46127221,MA13NRU,0.620119684
13,3,[691.1878902421761 1442.978810333656 1407.2724892316558 2096.175720618332],[925.9464111328125 1860.3262939453125 1170.8045654296875 1966.883056640625],0.557157934,MA13NRU,0.178134087
14,3,[688.005333086744 1450.6536966495523 1403.1709524968728 2103.4382559616397],[905.5786743164062 1874.880615234375 1173.8658447265625 1974.226318359375],0.355907023,NA13NRU,0.246879366
17,5,[2197.0370262532424 1229.9478114097046 2825.861658713796 1845.43970750573],[2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875],0.657509983,HD51VSU,0.298876067
18,3,[675.4237825526252 1484.7774799501067 1389.8749648557969 2134.14878744879],[903.7427368164062 1901.384765625 1157.526123046875 2006.748046875],0.572807074,NA13NRU,0.799590268
19,3,[675.8236131497276 1494.2533189724634 1387.9867694149602 2140.172651357287],[917.968505859375 1911.1563720703125 1148.3724365234375 2009.7374267578125],0.639003992,NA13NRU,0.330918394
21,5,[2204.066159476873 1251.063726620961 2843.1098641179324 1873.4629090930769],[2435.10205078125 1681.0770263671875 2619.671630859375 1763.31884765625],0.645879567,CD51VSU,0.171526017
21,3,[671.2351555183636 1511.2964526572198 1377.5599642238249 2148.083330358088],[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.619950175,NA13NRU,0.295930608
22,3,[667.1633922059243 1514.6934389451412 1374.6180618498938 2150.402245101469],[872.032470703125 1923.384521484375 1137.3695068359375 2037.88916015625],0.646121681,NA13NRU,0.330087638
23,3,[666.265672770184 1521.1540563564674 1369.7504952098989 2150.3498658051276],[910.2145385742188 1941.6591796875 1144.8201904296875 2045.091064453125],0.656610072,NA13MRU,0.666639774
24,3,[665.8311277821688 1526.5711069918452 1366.0976066522055 2149.7269747342007],[871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875],0.629778326,NA13NRU,0.514650687
25,5,[2206.626903888792 1265.0443651039916 2860.0063324140774 1900.5577067667555],[2440.6376953125 1698.0545654296875 2624.806640625 1788.9144287109375],0.688610733,MT51VSU,0.308853334
27,3,[667.9795315804836 1548.9266371616045 1356.3424990883964 2148.0720580980383],[855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125],0.664291322,NA13NRU,0.149715
28,3,[665.6164533815573 1554.5208515637803 1353.521031814742 2148.378482267848],[873.2217407226562 1982.525146484375 1116.4901123046875 2092.09423828125],0.668334544,MA13MRU,0.194423893
28,5,[2198.468323837614 1264.0466332173041 2868.843739121604 1921.3045589243402],[2448.481201171875 1726.820556640625 2626.799560546875 1804.2232666015625],0.643989444,CQ35ISV,0.044558537
31,3,[664.3477864935965 1576.4822647658796 1344.5411880848087 2148.850188099601],[873.2384643554688 2022.1483154296875 1119.32470703125 2125.7470703125],0.697062194,NA13NRU,0.124952044
31,5,[2202.5553292132845 1287.8022374256761 2873.109955545377 1949.3878740652717],[2445.10546875 1741.8328857421875 2633.769775390625 1832.1090087890625],0.663170934,CZ51VSU,0.116132751
33,3,[657.1674428038679 1594.3884265652914 1329.620923814059 2146.244436519893],[851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625],0.649632454,NA13NRU,0.502694027
35,3,[643.6240357175664 1609.166893216286 1318.482285555061 2147.5377446617886],[856.0748291015625 2065.391845703125 1110.78076171875 2160.0],0.633253455,MA13MRU,0.424092283
38,3,[629.3673257156086 1632.6234126055804 1307.2571040013668 2148.767026992596],[845.4556274414062 2086.273193359375 1084.9769287109375 2160.0],0.367156893,IW13MOU,0.139889492
43,6,[1137.3888041823252 1144.4350117151653 1710.895760093455 1599.675267238911],[1354.1923828125 1420.5323486328125 1513.2813720703125 1506.3333740234375],0.2555857,GX15OGJ,0.193247645
49,5,[2228.863847951956 1397.9688462903764 2922.7688556134335 2088.0685293085635],[2478.65576171875 1876.3524169921875 2673.87744140625 1965.5372314453125],0.696882248,IW51YSU,0.012656104
55,5,[2243.346228699877 1440.8098442848334 2944.742645273699 2132.9273155580736],[2490.76416015625 1924.786376953125 2691.08447265625 2013.0380859375],0.68135792,CI51WSU,0.02091988
58,6,[1095.716165641703 1200.6961515686307 1703.7419385197152 1683.166825328116],[1318.248046875 1498.404052734375 1485.2607421875 1570.48974609375],0.290977776,GX15OGJ,0.140718778
59,5,[2251.127511252186 1462.9088857898262 2947.6193039049294 2144.380776599797],[2497.289306640625 1959.7628173828125 2710.309814453125 2050.332275390625],0.70749718,MT51VSU,0.096528291
64,6,[1081.2122726300731 1232.3657447672526 1692.7039496025302 1715.1362584874114],[1307.212646484375 1526.3565673828125 1475.3118896484375 1606.3443603515625],0.288347453,GX15OGJ,0.466468638
80,6,[1030.4571920837966 1297.075970708943 1681.763687685898 1810.6601740236056],[1261.7398681640625 1626.8250732421875 1430.3507080078125 1704.8565673828125],0.555119574,GX15OGJ,0.333715025
90,6,[995.3273685986679 1347.892911978535 1685.8599421842687 1886.3887864781732],[1229.110107421875 1685.361083984375 1427.8165283203125 1772.9664306640625],0.568668306,GX15OGJ,0.21557254
92,6,[988.8047113874779 1361.602886598913 1682.444590624847 1900.950476115422],[1224.4593505859375 1692.90966796875 1398.9228515625 1781.025146484375],0.485619783,GX15OGJ,0.284478851
93,6,[983.3161430068101 1366.3741407146565 1681.0690191598471 1907.3041999430754],[1227.27734375 1701.4124755859375 1435.8681640625 1794.305908203125],0.509275317,GX15OGJ,0.406711651
96,6,[968.8152588580948 1377.4621788718268 1683.6781303583716 1930.8952758209662],[1217.3697509765625 1728.62841796875 1433.4193115234375 1813.4520263671875],0.546812356,GX15OGJ,0.447619946
98,6,[961.4460379871709 1390.2083041861665 1681.5274449267745 1947.604914877337],[1220.805908203125 1741.981689453125 1421.3272705078125 1827.442138671875],0.638999403,GX15OCJ,0.20963357
99,6,[955.0193663644931 1397.224664766976 1681.4778442736251 1959.819416668974],[1207.9146728515625 1751.7213134765625 1425.743896484375 1838.0093994140625],0.442879021,GX15OCJ,0.306496813
100,6,[956.6120058320798 1407.1268729320313 1675.4366345287644 1963.6588752778446],[1198.587158203125 1746.281982421875 1422.23583984375 1836.5302734375],0.568280756,GX15OCJ,0.62609642
102,6,[946.8762190834748 1417.729519076874 1674.9289087260802 1981.0706840528287],[1209.3094482421875 1773.0977783203125 1410.6689453125 1856.2056884765625],0.597523689,GX15OCJ,0.282671243
103,6,[945.3289013375822 1424.3289264673629 1674.5394945303958 1989.192277380522],[1209.9383544921875 1785.591796875 1409.098876953125 1857.3046875],0.430762649,GY15OGJ,0.209630207
104,1,[2054.252100040171 1107.4329193833478 2558.31621068245 1550.1658843114744],[2224.28173828125 1371.1563720703125 2428.88525390625 1464.13623046875],0.415357858,AP05JEQ,0.295246927
